timestamp,station,PM2.5,PM10,NO2,SO2,CO,AQI
2026-05-29T10:00:00Z,BTM Layout,75.4,109.53,29.64,12.59,1.49,146
2026-05-29T10:00:00Z,Hebbal,74.06,132.46,37.78,10.73,1.22,129
2026-05-29T10:00:00Z,Peenya,96.23,150.66,31.47,10.43,1.01,208
2026-05-29T10:00:00Z,Silk Board,114.91,162.57,30.02,8.57,1.33,218
2026-05-29T10:00:00Z,Whitefield,81.6,152.66,35.8,11.51,1.34,171
2026-05-29T11:00:00Z,BTM Layout,52.26,135.72,31.77,8.81,1.59,151
2026-05-29T11:00:00Z,Hebbal,72.33,130.64,45.75,13.65,1.19,139
2026-05-29T11:00:00Z,Peenya,104.52,150.17,44.36,7.66,1.57,197
2026-05-29T11:00:00Z,Silk Board,105.79,205.45,39.52,10.09,1.17,221
2026-05-29T11:00:00Z,Whitefield,80.51,149.13,44.58,6.24,1.08,181
2026-05-29T12:00:00Z,BTM Layout,46.6,106.29,30.46,12.38,1.22,100
2026-05-29T12:00:00Z,Hebbal,45.34,106.4,33.87,7.83,0.88,101
2026-05-29T12:00:00Z,Peenya,64.95,137.46,24.15,11.96,1.12,140
2026-05-29T12:00:00Z,Silk Board,75.52,151.02,33.87,11.92,1.19,152
2026-05-29T12:00:00Z,Whitefield,59.31,109.59,33.68,13.08,0.87,124
2026-05-29T13:00:00Z,BTM Layout,58.59,75.55,27.98,13.14,1.07,107
2026-05-29T13:00:00Z,Hebbal,43.8,112.02,25.81,7.56,0.92,123
2026-05-29T13:00:00Z,Peenya,77.7,126.48,30.11,9.54,0.96,161
2026-05-29T13:00:00Z,Silk Board,83.37,137.93,32.7,11.69,0.99,152
2026-05-29T13:00:00Z,Whitefield,57.69,118.35,33.09,13.12,1.08,130
2026-05-29T14:00:00Z,BTM Layout,45.95,66.54,23.98,8.81,1.05,91
2026-05-29T14:00:00Z,Hebbal,40.78,91.11,37.6,12.31,1.11,108
2026-05-29T14:00:00Z,Peenya,82.83,110.99,36.17,11.03,1.25,161
2026-05-29T14:00:00Z,Silk Board,70.09,132.22,25.51,7.44,1.04,146
2026-05-29T14:00:00Z,Whitefield,58.41,119.18,21.77,12.5,1.17,135
2026-05-29T15:00:00Z,BTM Layout,46.7,79.68,26.28,9.37,1.03,119
2026-05-29T15:00:00Z,Hebbal,60.66,123.03,28.08,10.64,1.2,116
2026-05-29T15:00:00Z,Peenya,61.76,149.78,39.61,7.52,0.76,142
2026-05-29T15:00:00Z,Silk Board,72.35,135.48,23.5,12.33,1.25,159
2026-05-29T15:00:00Z,Whitefield,66.04,133.25,33.6,7.38,1.06,126
2026-05-29T16:00:00Z,BTM Layout,50.71,110.52,20.36,6.09,1.11,104
2026-05-29T16:00:00Z,Hebbal,45.4,108.75,37.62,6.06,0.84,107
2026-05-29T16:00:00Z,Peenya,71.7,144.98,34.16,13.77,1.09,146
2026-05-29T16:00:00Z,Silk Board,68.52,158.48,36.33,7.09,1.0,153
2026-05-29T16:00:00Z,Whitefield,65.78,130.66,24.89,6.8,0.76,133
2026-05-29T17:00:00Z,BTM Layout,62.47,82.37,39.18,9.76,1.07,117
2026-05-29T17:00:00Z,Hebbal,47.5,86.88,34.91,7.73,0.75,111
2026-05-29T17:00:00Z,Peenya,72.74,112.07,27.91,9.43,0.89,161
2026-05-29T17:00:00Z,Silk Board,94.43,130.41,23.3,10.72,0.99,160
2026-05-29T17:00:00Z,Whitefield,68.81,110.01,39.34,10.77,0.82,125
2026-05-29T18:00:00Z,BTM Layout,50.42,101.12,33.48,13.7,1.01,139
2026-05-29T18:00:00Z,Hebbal,83.54,129.5,39.51,11.27,1.34,142
2026-05-29T18:00:00Z,Peenya,82.54,183.15,35.01,10.66,1.11,190
2026-05-29T18:00:00Z,Silk Board,100.66,164.14,42.54,11.07,1.01,219
2026-05-29T18:00:00Z,Whitefield,75.53,164.41,32.04,9.52,1.37,183
2026-05-29T19:00:00Z,BTM Layout,55.61,116.91,43.93,13.78,1.49,129
2026-05-29T19:00:00Z,Hebbal,77.71,118.59,42.25,8.75,1.53,156
2026-05-29T19:00:00Z,Peenya,100.91,153.35,45.8,9.41,1.33,182
2026-05-29T19:00:00Z,Silk Board,112.48,187.15,48.08,7.84,1.5,193
2026-05-29T19:00:00Z,Whitefield,85.7,162.51,47.02,8.06,1.33,158
2026-05-29T20:00:00Z,BTM Layout,56.71,98.52,33.48,12.04,1.34,132
2026-05-29T20:00:00Z,Hebbal,81.77,126.6,34.27,6.89,1.19,139
2026-05-29T20:00:00Z,Peenya,102.23,180.99,36.84,12.87,1.16,204
2026-05-29T20:00:00Z,Silk Board,91.54,199.67,32.48,13.12,1.49,197
2026-05-29T20:00:00Z,Whitefield,83.67,160.1,42.03,6.3,1.03,161
2026-05-29T21:00:00Z,BTM Layout,58.83,134.96,46.06,9.98,1.12,136
2026-05-29T21:00:00Z,Hebbal,58.92,143.61,42.32,9.33,1.29,155
2026-05-29T21:00:00Z,Peenya,107.75,190.98,47.87,6.77,1.28,183
2026-05-29T21:00:00Z,Silk Board,105.97,183.41,29.26,6.69,1.39,211
2026-05-29T21:00:00Z,Whitefield,79.55,159.98,40.58,6.03,1.4,154
2026-05-29T22:00:00Z,BTM Layout,69.94,112.56,42.34,9.69,1.48,132
2026-05-29T22:00:00Z,Hebbal,71.61,105.98,34.62,6.73,1.08,132
2026-05-29T22:00:00Z,Peenya,105.92,164.34,42.35,12.22,1.21,205
2026-05-29T22:00:00Z,Silk Board,101.43,170.19,46.94,8.89,1.45,194
2026-05-29T22:00:00Z,Whitefield,89.23,125.05,32.95,6.86,1.05,172
2026-05-29T23:00:00Z,BTM Layout,58.59,113.44,33.31,11.13,1.01,107
2026-05-29T23:00:00Z,Hebbal,40.22,123.92,34.92,8.02,0.71,117
