timestamp,junction_name,latitude,longitude,congestion_level,avg_speed_kmph,hour,is_weekend,location,station,PM2.5,PM10,NO2,SO2,CO,AQI,temp,humidity,wind_speed,weather_main,rain_1h,traffic_aqi_lag1
2026-05-29 06:00:00+00:00,Koramangala,12.935,77.624,27,37.35,6,0,BTM Layout,BTM Layout,75.4,109.53,29.64,12.59,1.49,146,31.25,43,8.34,Haze,0.0,
2026-05-29 07:00:00+00:00,Koramangala,12.935,77.624,19,44.64,7,0,BTM Layout,BTM Layout,75.4,109.53,29.64,12.59,1.49,146,31.84,43,7.65,Haze,0.0,27.0
2026-05-29 08:00:00+00:00,Koramangala,12.935,77.624,56,31.38,8,0,BTM Layout,BTM Layout,75.4,109.53,29.64,12.59,1.49,146,32.0,42,7.69,Clouds,0.0,19.0
2026-05-29 09:00:00+00:00,Koramangala,12.935,77.624,49,32.04,9,0,BTM Layout,BTM Layout,75.4,109.53,29.64,12.59,1.49,146,32.0,48,13.44,Clouds,0.0,56.0
2026-05-29 10:00:00+00:00,Koramangala,12.935,77.624,51,29.9,10,0,BTM Layout,BTM Layout,75.4,109.53,29.64,12.59,1.49,146,31.79,48,14.92,Haze,0.0,49.0
2026-05-29 11:00:00+00:00,Koramangala,12.935,77.624,53,30.93,11,0,BTM Layout,BTM Layout,52.26,135.72,31.77,8.81,1.59,151,31.12,49,13.8,Haze,0.0,51.0
2026-05-29 12:00:00+00:00,Koramangala,12.935,77.624,30,38.05,12,0,BTM Layout,BTM Layout,46.6,106.29,30.46,12.38,1.22,100,30.31,51,15.98,Clouds,0.0,53.0
2026-05-29 13:00:00+00:00,Koramangala,12.935,77.624,28,38.77,13,0,BTM Layout,BTM Layout,58.59,75.55,27.98,13.14,1.07,107,26.77,69,15.47,Rain,5.68,30.0
2026-05-29 14:00:00+00:00,Koramangala,12.935,77.624,20,41.9,14,0,BTM Layout,BTM Layout,45.95,66.54,23.98,8.81,1.05,91,27.42,59,18.93,Clear,0.0,28.0
2026-05-29 15:00:00+00:00,Koramangala,12.935,77.624,30,36.89,15,0,BTM Layout,BTM Layout,46.7,79.68,26.28,9.37,1.03,119,26.11,64,18.67,Clouds,0.0,20.0
2026-05-29 16:00:00+00:00,Koramangala,12.935,77.624,21,42.71,16,0,BTM Layout,BTM Layout,50.71,110.52,20.36,6.09,1.11,104,25.26,73,16.56,Haze,0.0,30.0
2026-05-29 17:00:00+00:00,Koramangala,12.935,77.624,56,31.67,17,0,BTM Layout,BTM Layout,62.47,82.37,39.18,9.76,1.07,117,23.73,81,15.43,Clouds,0.0,21.0
2026-05-29 18:00:00+00:00,Koramangala,12.935,77.624,47,33.01,18,0,BTM Layout,BTM Layout,50.42,101.12,33.48,13.7,1.01,139,22.0,84,19.23,Rain,3.18,56.0
2026-05-29 19:00:00+00:00,Koramangala,12.935,77.624,55,30.85,19,0,BTM Layout,BTM Layout,55.61,116.91,43.93,13.78,1.49,129,22.13,82,18.6,Clear,0.0,47.0
2026-05-29 20:00:00+00:00,Koramangala,12.935,77.624,63,29.02,20,0,BTM Layout,BTM Layout,56.71,98.52,33.48,12.04,1.34,132,22.0,84,16.81,Clouds,0.0,55.0
2026-05-29 21:00:00+00:00,Koramangala,12.935,77.624,27,40.2,21,0,BTM Layout,BTM Layout,58.83,134.96,46.06,9.98,1.12,136,22.0,80,15.12,Clouds,0.0,63.0
2026-05-29 22:00:00+00:00,Koramangala,12.935,77.624,24,41.26,22,0,BTM Layout,BTM Layout,69.94,112.56,42.34,9.69,1.48,132,22.83,83,9.63,Haze,0.0,27.0
2026-05-29 23:00:00+00:00,Koramangala,12.935,77.624,3,52.77,23,0,BTM Layout,BTM Layout,58.59,113.44,33.31,11.13,1.01,107,23.09,83,11.13,Haze,0.0,24.0
2026-05-30 00:00:00+00:00,Koramangala,12.935,77.624,1,53.98,0,1,BTM Layout,BTM Layout,45.2,71.81,37.19,7.72,1.11,111,23.49,76,9.86,Clouds,0.0,3.0
2026-05-30 01:00:00+00:00,Koramangala,12.935,77.624,2,54.91,1,1,BTM Layout,BTM Layout,39.0,79.23,22.39,6.29,0.75,113,25.08,75,7.19,Clouds,0.0,1.0
2026-05-30 02:00:00+00:00,Koramangala,12.935,77.624,8,51.05,2,1,BTM Layout,BTM Layout,43.49,53.49,12.99,7.78,0.84,79,26.68,63,8.57,Haze,0.0,2.0
2026-05-30 03:00:00+00:00,Koramangala,12.935,77.624,9,46.51,3,1,BTM Layout,BTM Layout,38.75,50.75,23.89,11.39,0.86,65,27.88,66,5.27,Clouds,0.0,8.0
2026-05-30 04:00:00+00:00,Koramangala,12.935,77.624,8,49.32,4,1,BTM Layout,BTM Layout,27.24,82.29,31.39,13.65,0.56,78,29.18,58,5.25,Clouds,0.0,9.0
2026-05-30 05:00:00+00:00,Koramangala,12.935,77.624,1,52.23,5,1,BTM Layout,BTM Layout,42.44,90.89,29.5,9.24,0.68,86,30.02,51,7.68,Clouds,0.0,8.0
2026-05-29 06:00:00+00:00,Hebbal,13.035,77.597,29,38.25,6,0,Hebbal,Hebbal,74.06,132.46,37.78,10.73,1.22,129,31.25,43,8.34,Haze,0.0,
2026-05-29 07:00:00+00:00,Hebbal,13.035,77.597,33,37.63,7,0,Hebbal,Hebbal,74.06,132.46,37.78,10.73,1.22,129,31.84,43,7.65,Haze,0.0,29.0
2026-05-29 08:00:00+00:00,Hebbal,13.035,77.597,63,29.81,8,0,Hebbal,Hebbal,74.06,132.46,37.78,10.73,1.22,129,32.0,42,7.69,Clouds,0.0,33.0
2026-05-29 09:00:00+00:00,Hebbal,13.035,77.597,53,31.7,9,0,Hebbal,Hebbal,74.06,132.46,37.78,10.73,1.22,129,32.0,48,13.44,Clouds,0.0,63.0
2026-05-29 10:00:00+00:00,Hebbal,13.035,77.597,61,28.94,10,0,Hebbal,Hebbal,74.06,132.46,37.78,10.73,1.22,129,31.79,48,14.92,Haze,0.0,53.0
2026-05-29 11:00:00+00:00,Hebbal,13.035,77.597,59,28.27,11,0,Hebbal,Hebbal,72.33,130.64,45.75,13.65,1.19,139,31.12,49,13.8,Haze,0.0,61.0
2026-05-29 12:00:00+00:00,Hebbal,13.035,77.597,27,38.55,12,0,Hebbal,Hebbal,45.34,106.4,33.87,7.83,0.88,101,30.31,51,15.98,Clouds,0.0,59.0
2026-05-29 13:00:00+00:00,Hebbal,13.035,77.597,25,41.87,13,0,Hebbal,Hebbal,43.8,112.02,25.81,7.56,0.92,123,26.77,69,15.47,Rain,5.68,27.0
2026-05-29 14:00:00+00:00,Hebbal,13.035,77.597,28,40.63,14,0,Hebbal,Hebbal,40.78,91.11,37.6,12.31,1.11,108,27.42,59,18.93,Clear,0.0,25.0
2026-05-29 15:00:00+00:00,Hebbal,13.035,77.597,27,37.76,15,0,Hebbal,Hebbal,60.66,123.03,28.08,10.64,1.2,116,26.11,64,18.67,Clouds,0.0,28.0
2026-05-29 16:00:00+00:00,Hebbal,13.035,77.597,25,38.58,16,0,Hebbal,Hebbal,45.4,108.75,37.62,6.06,0.84,107,25.26,73,16.56,Haze,0.0,27.0
2026-05-29 17:00:00+00:00,Hebbal,13.035,77.597,59,30.88,17,0,Hebbal,Hebbal,47.5,86.88,34.91,7.73,0.75,111,23.73,81,15.43,Clouds,0.0,25.0
2026-05-29 18:00:00+00:00,Hebbal,13.035,77.597,55,29.13,18,0,Hebbal,Hebbal,83.54,129.5,39.51,11.27,1.34,142,22.0,84,19.23,Rain,3.18,59.0
2026-05-29 19:00:00+00:00,Hebbal,13.035,77.597,61,27.15,19,0,Hebbal,Hebbal,77.71,118.59,42.25,8.75,1.53,156,22.13,82,18.6,Clear,0.0,55.0
2026-05-29 20:00:00+00:00,Hebbal,13.035,77.597,57,31.02,20,0,Hebbal,Hebbal,81.77,126.6,34.27,6.89,1.19,139,22.0,84,16.81,Clouds,0.0,61.0
2026-05-29 21:00:00+00:00,Hebbal,13.035,77.597,21,40.27,21,0,Hebbal,Hebbal,58.92,143.61,42.32,9.33,1.29,155,22.0,80,15.12,Clouds,0.0,57.0
